time,precipitation_sum,temperature_2m_max,temperature_2m_min,windspeed_10m_max
2023-01-01,0.0,25.9,14.3,22.7
2023-01-02,0.0,24.3,11.7,19.8
2023-01-03,0.0,24.2,12.2,20.2
2023-01-04,0.0,24.9,11.6,21.3
2023-01-05,0.0,21.9,10.9,19.6
2023-01-06,0.0,21.7,10.1,20.2
2023-01-07,0.0,20.6,9.7,18.4
2023-01-08,0.0,21.6,9.9,18.4
2023-01-09,0.0,20.9,10.6,15.1
2023-01-10,0.0,22.4,10.9,17.4
2023-01-11,0.0,23.1,13.8,21.3
2023-01-12,0.0,21.5,11.4,19.6
2023-01-13,0.0,24.9,10.8,27.8
2023-01-14,0.0,24.1,13.2,22.8
2023-01-15,0.0,23.1,11.8,19.4
2023-01-16,0.0,23.5,11.0,21.8
2023-01-17,0.5,18.3,12.4,28.0
2023-01-18,0.0,18.1,11.7,32.3
2023-01-19,0.0,20.6,9.2,18.7
2023-01-20,0.0,21.4,10.3,21.3
2023-01-21,0.0,20.1,11.3,18.3
2023-01-22,0.0,19.8,9.1,14.7
2023-01-23,0.0,21.2,10.1,19.4
2023-01-24,0.0,17.7,8.5,20.5
2023-01-25,0.0,17.5,7.4,25.5
2023-01-26,0.0,18.2,6.0,25.0
2023-01-27,0.5,15.0,8.3,28.3
2023-01-28,0.0,15.7,9.8,27.6
2023-01-29,0.0,17.7,5.4,22.5
2023-01-30,0.0,20.8,7.9,23.6
2023-01-31,0.0,19.5,10.0,53.6
2023-02-01,0.0,19.5,11.9,35.8
2023-02-02,0.0,19.0,8.6,23.9
2023-02-03,0.0,20.0,6.2,19.5
2023-02-04,0.0,20.5,6.7,25.4
2023-02-05,0.0,20.0,8.2,26.9
2023-02-06,0.0,19.7,8.7,22.4
2023-02-07,0.1,17.2,8.1,21.9
2023-02-08,0.0,18.8,7.4,20.2
2023-02-09,0.0,23.0,8.6,22.9
2023-02-10,1.2,18.9,13.3,51.8
2023-02-11,1.6,20.8,12.6,46.1
2023-02-12,0.0,23.9,12.5,34.8
2023-02-13,3.1,19.3,14.8,45.7
